focus_pos,variance_of_laplacian,tenengrad,sum_modified_laplacian,normalized_variance,over_clip_frac,under_clip_frac,mean,p01,p50,p99,dynamic_range,sat_mean,sat_p50,val_mean
200,11.88576312544027,1352.0558684853206,2.1941707992856134,23.143357604248216,0.0,0.0,171.83970760844662,11.97520125,208.505375,222.146,210.17079875,36.67632081238171,12.29799622836801,178.5456347053434
205,10.606102998020926,1162.3753074449282,2.1042928313230944,22.60441460427072,0.0,0.0,171.86998824357397,12.292124999999999,207.83599999999998,222.146,209.85387500000002,36.027094547767845,12.16935900841231,178.45727237654322
210,9.777471900481999,1022.8248412420241,2.0420313998507647,22.12714569244201,0.0,0.0,171.859078789605,12.266749999999998,207.59099999999998,220.96386624999997,208.69711624999997,35.730330847480175,12.1723929200432,178.4045726634838
215,9.340453101751933,964.3277019374478,1.9973593696481915,21.87637326093521,0.0,0.0,171.88195715181325,12.46671625,207.59099999999998,220.40474999999998,207.93803375000002,35.59387225923165,12.21429012676355,178.41328034577546
220,9.283650688978183,961.7264517313879,1.9919826218990109,21.872306436631696,0.0,0.0,171.88748069480613,12.464624999999998,207.373875,220.2186537499998,207.7540287499998,35.38748691929575,12.121756176420401,178.35898166232639
225,9.275748830329944,960.6259475169727,1.9958709815530695,21.877789226478498,0.0,0.0,171.8434771713445,12.34988375,207.47974999999997,220.2315,207.88161625000004,35.56467768150259,12.339707097303759,178.36164912471065
230,9.230512228120284,958.7277880734268,1.9862749654425838,21.973819323909204,0.0,0.0,171.494810694565,12.22888375,206.71349999999998,220.14600000000002,207.91711625,35.53586816677262,12.15766143671563,177.8648425443673
235,9.344138721989147,960.5481277083536,1.995948477332783,22.042012629205406,0.0,0.0,171.21351442991653,12.141375,206.017375,220.14600000000002,208.00462500000003,35.455301049546556,12.092569557108366,177.4768322603202
240,9.302884531979606,958.5675254364326,2.0006157979400143,22.08262523700872,0.0,0.0,171.11158179012344,12.06022625,205.86587500000002,220.14600000000002,208.08577375000002,35.31604939875682,12.039491273554695,177.3792091652199
245,9.253472891484423,956.6683802992244,1.9943811775211664,22.10728663145099,0.0,0.0,170.98998260121286,12.0297475,205.836,220.14600000000002,208.11625250000003,35.27897410030158,12.028301886792454,177.17600579909336
250,9.257722755189368,955.8455610106669,1.987951165471942,22.115081847701916,0.0,0.0,170.94163962884596,12.04097625,205.836,220.14600000000002,208.10502375,35.38354929430432,12.035427658052402,177.13905466338733
255,9.198699343040293,956.2998008115426,1.9825635504844192,22.10997287547699,0.0,0.0,170.99552162603686,12.09659125,205.836,220.14600000000002,208.04940875,35.055305665467216,12.014250132251806,177.1483500916281
